pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
37	埼玉県所沢市大字下安松	311.33	311.33	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	集中プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	東	公道	8.0	18.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	244.92	0.3	（無）	（不要）	1120	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	115000	179000	179000	311.33	0.0	0.0	100.0	110.0	80.0	88.0	103.77	82.0	（不要）	（不要）	0.0	0.0	（不要）						○															19.0	14	14								○							○							○							JR武蔵野線	東所沢	徒歩	14								
38	埼玉県所沢市東狭山ヶ丘	111.93	111.93	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	6.2	8.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	1400	1400	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域		景観法				（無）	0	139000	139000	111.93	0.0	0.0	111.93	111.93	90.0	90.0	111.93	90.0	（不要）	（不要）	0.0	0.0	（不要）		○				○															15.0	18	18	○														○							○							西武池袋線	狭山ヶ丘	徒歩	11								
39	埼玉県上尾市大字原市	1550.45	1579.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	11.0	0.0	0.0	0.0	11.0	0.0	東	公道	5.0	51.4	西	公道	4.2	5.4			0.0	0.0			0.0	0.0	（無）	0.0	2.2	（無）	（要）	400	1070	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（要）	防火指定無	100.0					（無）	76000	106000	101000	1334.47	212.41	3.57	115.33	124.28	95.88	95.88	121.31	95.88	（不要）	（不要）	0.0	0.0	（不要）						○															27.0	5	14	○							○							○							○							埼玉新都市交通伊奈線【ニューシャトル】	吉野原	徒歩	13								
40	埼玉県三郷市早稲田	96.13	96.13	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	公共下水	1.0	0.0	0.0	0.0	1.0	0.0	南東	公道	11.3	7.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	420	1060	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	100000	122000	134000	96.13	0.0	0.0	96.13	96.13	98.82	98.82	96.13	98.82	（不要）	（不要）	0.0	0.0	（不要）	0.0																				6.0	6	14																													JR武蔵野線	三郷	徒歩	22								
41	埼玉県春日部市豊町	143.78	143.78	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.2	10.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	62.1	0.3	（無）	（不要）	950	1300	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	94000	119000	109000	143.78	0.0	0.0	143.78	143.78	108.06	108.06	143.78	108.06	（不要）	（不要）	0.0	0.0	（不要）			○			○															13.0	12	17	○							○							○							○							東武伊勢崎線	春日部	徒歩	21								
42	埼玉県川越市大字的場	253.36	251.36	第一種低層住居専用地域		50		80		公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	4.2	19.2													（無）	0.0	0.2	（無）	（不要）	1100	1300	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		景観法		文化財保護法（埋蔵文化財）		（無）	69000	86400	125000	253.36	0.0	0.0	126.68	126.68	99.37	99.37	126.68	99.37	（不要）	（不要）			（不要）		○				○															13.0	14	17	○													○	○							○							JR川越線	的場	徒歩	15					徒歩			
43	埼玉県幸手市北	1423.02	1423.02	第一種住居地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	7.0				7.0	0.0	北東	公道	3.3	27.3	北西	公道	1.9	9.1	南	公道	4.0	87.6			0.0	0.0	（有）	1240.55	0.0	（無）	（不要）	1200	750	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無	100.0	景観法				（無）	30000	44800	44800	1240.55	180.65	1.82	153.5	235.35	96.0	96.0	177.22	96.0	（不要）	（不要）	0.0	0.0	（要）	17.0					○															27.0	15	10	○																					○							東武日光線	幸手	徒歩	23								
44	埼玉県久喜市栗原	259.45	259.45	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	6.0	14.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	144.08	0.4	（無）	（不要）	1630	1460	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		景観法	東日本震災復興特			（無）	54000	70700	64700	259.45	0.0	0.0	125.82	133.63	93.0	95.0	129.72	94.0	（不要）	（不要）	0.0	0.0	（不要）						○															14.0	21	19								○							○														JR東北本線【宇都宮線】	久喜	バス	11		4.0						
45	埼玉県入間市大字下藤沢	430.29	429.0	指定のない区域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南東	公道	4.0	9.0	北東	公道	4.2	12.1			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	1400	1600	公簿	造成上り	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	88000	148000	114000	430.29	0.0	0.0	200.31	229.98	105.98	105.99	215.14	105.98	（不要）	（不要）	0.0	0.0	（不要）						○															15.0	18	20	○							○							○							○							西武池袋線	武蔵藤沢	徒歩	10								
46	埼玉県ふじみ野市大井武蔵野	113.44	113.44	第一種低層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	私道	4.0	13.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	84.31	0.2	（無）	（不要）	880	880	実測	建物有	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	22条区域						（無）	94000	129000	142000	113.44	0.0	0.0	114.71	114.71	102.27	102.27	113.44	102.27	（不要）	（不要）	0.0	0.0	（要）	4.0																				20.0	11	11	○							○																				○	東武東上線	上福岡	バス	27		2.0						
47	埼玉県越谷市大字下間久里字仲田	139.57	139.57	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	7.4	8.7			0.0	0.0			0.0	0.0			0.0	0.0	（有）	97.68	0.1	（無）	（不要）	400	1700	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	0.0					（無）	91000	110000	100000	139.57	0.0	0.0	142.54	142.54	108.06	108.06	139.57	108.06	（不要）	（不要）	0.0	0.0	（不要）		○				○															13.0	5	22	○								○						○							○							東武伊勢崎線	大袋	徒歩	16								
48	埼玉県さいたま市北区本郷町	275.54	277.68	第一種低層住居専用地域	第二種住居地域	50	60.0	100	200.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南西	公道	4.0	18.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	1900	1700	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		景観法				（無）	125000	146000	187000	275.54	0.0	0.0	135.77	139.77	105.58	105.78	137.77	105.68	（不要）	（不要）	0.0	0.0	（不要）		○				○															6.0	24	22	○									○												○							JR湘南新宿ライン	宇須土呂	徒歩	13								
49	埼玉県川口市坂下町	82.98	82.98	準住居地域		60		200		公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	4.0	6.2	西	公道	4.0	11.9									（無）	0.0	0.18	（無）	（不要）	750	800	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0	景観法				（無）	140000	184000	188000	82.98	0.0	0.0	82.98	82.98	81.98	81.98	82.98	81.98	（不要）	（不要）			（要）	55.0	○	○			○															5.0	10	10	○														○														埼玉高速鉄道線	鳩ヶ谷	徒歩	7					徒歩			
50	埼玉県所沢市大字上安松	618.09	618.09	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	5.0	0.0	0.0	0.0	5.0	0.0	南	公道	6.0	41.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	750	1800	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	120000	148000	184000	618.09	0.0	0.0	123.49	124.1	97.5	98.8	123.61	98.06	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															3.0	10	23	○							○														○							西武池袋線	秋津	徒歩	8								
51	埼玉県さいたま市見沼区大字大谷字後	231.1	198.34	第二種中高層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	5.0	10.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	300	1200	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無		景観法				（無）	82000	105000	117000	198.34	32.76	0.0	198.34	198.34	111.78	111.78	198.34	111.78	（不要）	（不要）	0.0	0.0	（不要）			○	○		○		○													7.0	4	15			○			○		○							○							○							東武野田線	七里	徒歩	16								
52	埼玉県幸手市大字千塚	1049.6	1045.05	指定のない区域		60	0.0	100	0.0	公営	個別浄化槽	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	東	公道	5.4	22.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	1.2	（有）	（不要）	1000	1000	公簿	造成上り	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	300.0					（無）	0	55400	58200	1045.05	0.0	4.55	302.09	401.5	103.5	105.99	348.35	105.16	（不要）	（不要）	0.0	0.0	（不要）						○															18.0	13	13	○							○							○													○	JR東北本線【宇都宮線】	東鷲宮	車	8								
53	埼玉県ふじみ野市桜ヶ丘	325.91	325.9	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	南	公道	4.0	38.0													（有）	262.0	0.5	（無）	（不要）	700	600	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	110000	129000	147000	325.91	0.0	0.0	108.53	108.79	80.99	83.43	108.63	82.34	（不要）	（不要）	0.0	0.0	（要）	54.0	○				○															17.0	9	8								○														○							東武東上線	ふじみ野	バス	5	ふじみ野高校前	1.0						
54	埼玉県さいたま市見沼区南中丸	243.13	243.13	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	4.0	10.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	2000	400	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	84000	112000	117000	243.13	0.0	0.0	107.23	135.9	100.16	103.71	121.56	101.95	（不要）	（不要）	0.0	0.0	（不要）		○				○															6.0	25	5	○							○													○	○							JR京浜東北線	大宮	バス	10		4.0						
55	埼玉県本庄市けや木	146.31	146.31	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	8.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1000	1200	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	53000	65600	65800	146.31	0.0	0.0	146.31	146.31	102.0	102.0	146.31	102.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○													○		15.0	13	15	○							○													○	○							JR高崎線	本庄	徒歩	14								
56	埼玉県川口市大字東本郷	67.1	65.49	第一種住居地域		60		200		私営	公共下水	個別プロパン	側溝	1.0	0.0	0.0	0.0	0.0	1.0	南	私道	6.0	6.0													（無）	0.0	0.15	（無）	（不要）	389	1100	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無		景観法	文化財保護法（埋蔵文化財）			（無）	0	123000	136000	67.1	0.0	0.0	67.1	67.1	101.84	101.84	67.1	101.84	（不要）	（不要）			（不要）		○	○		○	○															9.0	5	14	○							○							○							○							日暮里・舎人ライナー	見沼代親水公園	徒歩	13					徒歩			
57	埼玉県春日部市緑町	499.0	499.0	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	南西	公道	6.0	26.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	850	1300	公簿	造成上り	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	65000	86800	86800	499.0	0.0	0.0	160.0	175.0	105.37	105.99	166.33	105.71	（不要）	（不要）	0.0	0.0	（不要）						○															13.0	11	17						○		○									○							○					東武野田線	藤の牛島	徒歩	11								
58	埼玉県北足立郡伊奈町内宿台	415.0	415.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	6.0	16.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	300	1500	公簿	更地	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	防火指定無	120.0	景観法	農地法	文化財保護法（埋蔵文化財）		（無）	63000	77700	62400	415.0	0.0	0.0	200.67	214.33	110.96	110.96	207.5	110.96	（不要）	（不要）	0.0	0.0	（不要）						○															5.0	4	19							○	○													○								埼玉新都市交通伊奈線【ニューシャトル】	内宿	徒歩	6								
59	埼玉県北葛飾郡松伏町北葛飾郡松伏町大字松伏字上河原	104.87	104.87	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	3.6	9.2			0.0	0.0			0.0	0.0			0.0	0.0	（有）	100.0	0.2	（無）	（不要）	1200	1120	公簿	建物有	市街化区域	市街化区域	指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	49000	65200	64700	104.87	0.0	0.0	104.87	104.87	95.87	95.87	104.87	95.87	（要）	（不要）	10.0	0.0	（要）	30.0					○															5.0	15	14							○	○							○							○							東武伊勢崎線	北越谷	バス	15		3.0						
60	埼玉県川口市赤井	402.94	403.3	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	東	公道	6.0	36.2			0.0	0.0			0.0	0.0			0.0	0.0	（有）	200.0	0.5	（無）	（不要）	600	800	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	115000	150000	183000	402.94	0.0	0.0	100.04	102.63	88.68	101.65	100.73	96.38	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															10.0	8	10	○									○					○														埼玉高速鉄道線	鳩ケ谷	徒歩	21								
61	埼玉県川口市大字安行北谷	85.26	85.26	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	東	私道	6.0	7.8	南	公道	7.7	8.3			0.0	0.0			0.0	0.0	（有）	41.4	0.0	（無）	（不要）	1530	1890	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		景観法				（無）	91000	123000	123000	70.0	15.26	0.0	70.0	70.0	93.0	93.0	70.0	93.0	（不要）	（不要）	0.0	0.0	（要）	32.0		○			○															13.0	20	24								○														○							東武伊勢崎線	草加	バス	13		4.0						
62	埼玉県吉川市保	756.13	756.12	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	5.0	1.0	0.0	0.0	5.0	0.0	南	公道	10.0	17.5	北	公道	6.0	18.3			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1200	1100	公簿	更地	市街化区域		指定無	（有）	（無）	（要）	（不要）	（不要）	防火指定無	130.0					（無）	120000	127000	207000	753.12	0.0	3.01	115.58	130.02	92.74	100.44	126.02	97.68	（不要）	（不要）	0.0	0.0	（不要）	0.0																				11.0	15	14																													JR武蔵野線	吉川	徒歩	4								
63	埼玉県北本市宮内	159.36	158.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	4.0	14.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	800	1200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	0	71700	101000	159.36	0.0	0.0	159.36	159.36	107.44	107.44	159.36	107.44	（不要）	（不要）	0.0	0.0	（不要）		○				○															6.0	10	15	○							○							○							○							JR高崎線	北本	徒歩	16								
64	埼玉県越谷市大字恩間	111.31	113.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	7.5	西	公道	6.0	7.6			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	220	1900	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	100.0					（無）	88000	146000	146000	111.31	0.0	0.0	110.73	110.73	108.57	108.57	111.31	0.0	（不要）	（不要）	0.0	0.0	（不要）						○															7.0	3	24	○																												東武伊勢崎線	せんげん台	徒歩	9								
65	埼玉県越谷市上間久里	116.19	92.11	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	私道	4.0	8.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1000	1700	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無	100.0	景観法				（無）	92000	103000	116000	92.11	24.08	0.0	92.11	92.11	91.12	91.12	92.11	91.12	（不要）	（不要）	0.0	0.0	（不要）	0.0		○			○															12.0	13	22	○							○							○							○							東武伊勢崎線	せんげん台	徒歩	15			東武伊勢崎線	大袋	徒歩	16.0		
66	埼玉県川口市上青木西	92.76	92.76	第二種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	北東	公道	8.0	5.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	500	700	実測	その他	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	150000	190000	191000	92.76	0.0	0.0	92.76	92.76	105.98	105.98	92.76	105.98	（不要）	（不要）	0.0	0.0	（要）	66.0	○	○		○	○															7.0	7	9	○							○								○							○						JR京浜東北線	蕨	バス	6		3.0						
